Date,Open,High,Low,Close,Volume
2024-12-23,567.305,573.48,566.67,572.43,9775379
2024-12-24,562.75,573.0,555.1679,572.05,18305429
2024-12-25,576.89,594.7999,575.21,591.7,14653708
2024-12-26,591.54,593.1,584.52,589.34,9415699
2024-12-27,586.36,587.0,576.51,583.17,10209051
2024-12-28,588.545,599.66,580.38,584.82,16287724
2024-12-29,582.605,585.64,575.17,580.0,10757583
2024-12-30,577.0,580.76,573.01,577.16,11053743
2024-12-31,571.22,572.57,551.5,554.08,17712864
2025-01-01,557.04,559.9,550.09,554.4,14346715
2025-01-02,551.86,561.43,550.6,561.09,9522445
2025-01-03,562.93,566.3499,554.2001,565.52,9797339
2025-01-04,569.52,570.0,549.05,563.09,11154749
2025-01-05,563.55,563.8273,554.59,559.14,9164004
2025-01-06,562.1,572.5915,556.39,565.11,13599830
2025-01-07,566.0,577.5,565.2,573.54,10356550
2025-01-08,574.89,574.98,564.1001,569.2,7200228
2025-01-09,569.0,578.46,566.9,574.32,7130519
2025-01-10,577.5,594.5,575.57,592.83,12522371
2025-01-11,595.0,614.2,591.2501,613.65,14907164
2025-01-12,612.96,617.78,605.1,613.78,14697006
2025-01-13,617.075,619.9,607.05,608.93,8081212
2025-01-14,610.1,629.7899,608.53,623.77,16935503
2025-01-15,623.925,626.4,606.1701,613.57,11426015
2025-01-16,617.56,625.59,612.74,619.32,10938854
2025-01-17,623.37,638.4,621.5349,632.68,10837228
2025-01-18,631.5,636.6599,627.2094,630.79,7474717
2025-01-19,627.22,631.08,616.886,620.35,8453349
2025-01-20,629.975,631.15,618.58,624.24,10885625
2025-01-21,626.17,632.37,616.54,619.44,12897842
2025-01-22,621.0,627.36,596.32,597.19,17075480
2025-01-23,610.39,611.52,595.0,595.57,14958082
2025-01-24,590.58,603.11,580.0,585.25,48989390
2025-01-25,589.6,601.09,586.25,599.85,10205750
2025-01-26,602.715,607.99,599.2849,607.75,4726056
2025-01-27,605.48,606.3,598.94,603.35,6091239
2025-01-28,599.41,601.85,589.8,599.81,8084229
2025-01-29,588.75,596.9399,585.58,591.24,7025864
2025-01-30,592.265,593.97,583.85,585.51,6019520
2025-01-31,589.72,604.91,587.82,599.24,12682269
2025-02-01,604.76,609.5,596.4136,604.63,11436784
2025-02-02,611.825,630.99,605.62,630.2,14560754
2025-02-03,631.7,632.1011,608.23,617.89,12071479
2025-02-04,613.395,616.4397,602.79,610.72,10085846
2025-02-05,610.03,629.91,597.34,615.86,19256564
2025-02-06,607.1,608.97,598.445,608.33,10785031
2025-02-07,605.065,605.49,588.55,594.25,13597992
2025-02-08,610.21,622.46,606.5,617.12,15524302
2025-02-09,611.5,616.25,609.71,611.3,8355349
2025-02-10,624.05,624.97,603.67,612.77,17280600
2025-02-11,617.825,621.5,609.0082,616.46,11674016
2025-02-12,623.3,633.7,619.435,623.5,12274011
2025-02-13,627.36,636.6,621.15,636.45,9910163
2025-02-14,636.4,652.0,634.2,647.49,19065329
2025-02-15,626.61,663.87,625.1,659.88,28399190
2025-02-16,666.0,682.58,659.465,674.33,20950107
2025-02-17,675.0,681.0459,665.67,676.49,21377820
2025-02-18,696.82,710.79,676.1,687.0,29322898
2025-02-19,691.0,705.2999,685.58,689.18,19331660
2025-02-20,675.91,704.0,675.25,697.46,21415739
2025-02-21,702.5,707.71,691.61,704.19,13826270
2025-02-22,703.55,718.14,699.01,704.87,17793766
2025-02-23,705.88,718.9,703.5,711.99,13080690
2025-02-24,716.795,725.01,711.75,714.52,16427067
2025-02-25,718.56,721.2,711.33,717.4,12904317
2025-02-26,713.32,723.66,710.04,719.8,12997959
2025-02-27,715.3,727.1,712.6,725.38,12016517
2025-02-28,721.5197,729.0,718.04,728.56,12569064
2025-03-01,726.14,740.91,725.62,736.67,16901249
2025-03-02,736.0,737.0,706.44,716.37,21938703
2025-03-03,704.095,707.0,695.39,703.77,17535480
2025-03-04,697.275,705.63,693.64,694.84,12587408
2025-03-05,696.58,703.87,682.36,683.55,15660355
2025-03-06,686.28,687.27,662.45,668.13,15676994
2025-03-07,665.972,668.0,641.86,657.5,20579662
2025-03-08,659.65,683.0078,658.0,673.7,14488705
2025-03-09,682.45,688.6469,657.57,658.24,12500013
2025-03-10,658.04,669.63,642.6017,668.2,17534168
2025-03-11,673.675,681.25,650.8439,655.05,10843763
2025-03-12,645.51,649.75,623.65,640.0,21495208
2025-03-13,641.0,659.5,637.66,656.47,13770026
2025-03-14,648.0,650.5625,624.11,627.93,13446454
2025-03-15,625.37,634.79,600.61,625.66,21375671
2025-03-16,608.07,610.11,586.87,597.99,21395988
2025-03-17,595.055,614.934,593.33,605.71,17401469
2025-03-18,629.9,633.33,609.35,619.56,15746966
2025-03-19,620.245,620.5,586.51,590.64,16480324
2025-03-20,602.805,608.86,594.78,607.6,12364505
2025-03-21,607.46,613.1,598.0,604.9,15473909
2025-03-22,600.05,600.25,574.66,582.36,20297708
2025-03-23,584.28,592.3223,574.77,584.06,20537498
2025-03-24,582.755,610.2,579.51,586.0,24336505
2025-03-25,583.425,597.545,580.95,596.25,25015864
2025-03-26,614.97,622.54,612.2001,618.85,15741274
2025-03-27,626.76,633.88,621.18,626.31,15312540
2025-03-28,624.89,626.7499,606.61,610.98,12661891
2025-03-29,602.0,614.25,600.1,602.58,10436524
2025-03-30,600.31,601.75,573.92,576.74,17602823
2025-03-31,563.5,578.7,553.3,576.36,21124677
2025-04-01,570.84,589.91,570.0,586.0,12836574
